,ID,OPEID,Institution Name,City,State,Foreign Gift Received Date,Foreign Gift Amount,Gift Type,Country of Giftor,Giftor Name,is_public,giftor_category,region,public_ivy_core,public_ivy_expanded
0,1,102000,Jacksonville State University,Jacksonville,AL,43738,250000,Monetary Gift,CHINA,,1,Anonymous,East Asia & Pacific,0,0
1,2,104700,Troy University,Troy,AL,43592,463657,Contract,CHINA,Confucius Institute Headquarters,1,Academic/Research Institution,East Asia & Pacific,0,0
2,3,105100,University of Alabama,Tuscaloosa,AL,43466,3649107,Contract,ENGLAND,Springer Nature Customer Service Ce,1,Individual,Europe & Central Asia,0,0
3,4,105100,University of Alabama,Tuscaloosa,AL,43472,1000,Contract,SAUDI ARABIA,Saudi Arabia Education Mission,1,Charitable Organization,Middle East & North Africa,0,0
4,5,105100,University of Alabama,Tuscaloosa,AL,43479,49476,Contract,SAUDI ARABIA,Saudi Arabia Education Mission,1,Charitable Organization,Middle East & North Africa,0,0
5,6,105100,University of Alabama,Tuscaloosa,AL,43501,30231,Contract,KUWAIT,Kuwait-Embassy of the State,1,Government/International Body,Middle East & North Africa,0,0
6,7,105100,University of Alabama,Tuscaloosa,AL,43507,30162,Contract,KUWAIT,Kuwait-Embassy of the State,1,Government/International Body,Middle East & North Africa,0,0
7,8,105100,University of Alabama,Tuscaloosa,AL,43517,200,Monetary Gift,GERMANY,"Mercedes-Benz U.S. International, I",1,Industry/Corporate,Europe & Central Asia,0,0
8,9,105100,University of Alabama,Tuscaloosa,AL,43529,5136,Contract,SAUDI ARABIA,Saudi Arabia Education Mission,1,Charitable Organization,Middle East & North Africa,0,0
9,10,105100,University of Alabama,Tuscaloosa,AL,43531,57049,Contract,JAPAN,Kansai Gaidai University (KGU),1,Academic/Research Institution,East Asia & Pacific,0,0
10,11,105100,University of Alabama,Tuscaloosa,AL,43542,57778,Contract,SAUDI ARABIA,Saudi Arabia Education Mission,1,Charitable Organization,Middle East & North Africa,0,0
11,12,105100,University of Alabama,Tuscaloosa,AL,43543,5188,Contract,SAUDI ARABIA,Saudi Arabia Education Mission,1,Charitable Organization,Middle East & North Africa,0,0
12,13,105100,University of Alabama,Tuscaloosa,AL,43543,200,Monetary Gift,GERMANY,"Mercedes-Benz U.S. International, I",1,Industry/Corporate,Europe & Central Asia,0,0
13,14,105100,University of Alabama,Tuscaloosa,AL,43543,517303,Contract,KOREA,Korea Polar Research Institute - KO,1,Academic/Research Institution,East Asia & Pacific,0,0
14,15,105100,University of Alabama,Tuscaloosa,AL,43544,844219,Contract,SAUDI ARABIA,Saudi Arabia Education Mission,1,Charitable Organization,Middle East & North Africa,0,0
15,16,105100,University of Alabama,Tuscaloosa,AL,43559,4454795,Contract,KUWAIT,Kuwait-Embassy of the State,1,Government/International Body,Middle East & North Africa,0,0
16,17,105100,University of Alabama,Tuscaloosa,AL,43584,20156,Contract,SAUDI ARABIA,Saudi Arabia Education Mission,1,Charitable Organization,Middle East & North Africa,0,0
17,18,105100,University of Alabama,Tuscaloosa,AL,43586,400000,Contract,ENGLAND,Springer Nature,1,Individual,Europe & Central Asia,0,0
18,19,105100,University of Alabama,Tuscaloosa,AL,43588,642,Contract,SAUDI ARABIA,Saudi Arabia Education Mission,1,Charitable Organization,Middle East & North Africa,0,0
19,20,105100,University of Alabama,Tuscaloosa,AL,43591,2568,Contract,SAUDI ARABIA,Saudi Arabia Education Mission,1,Charitable Organization,Middle East & North Africa,0,0
20,21,105100,University of Alabama,Tuscaloosa,AL,43592,312245,Contract,JAPAN,Kansai Gaidai University (KGU),1,Academic/Research Institution,East Asia & Pacific,0,0
21,22,105100,University of Alabama,Tuscaloosa,AL,43593,15114,Contract,SAUDI ARABIA,Saudi Arabia Education Mission,1,Charitable Organization,Middle East & North Africa,0,0
22,23,105100,University of Alabama,Tuscaloosa,AL,43613,92,Contract,SAUDI ARABIA,Saudi Arabia Education Mission,1,Charitable Organization,Middle East & North Africa,0,0
23,24,105100,University of Alabama,Tuscaloosa,AL,43614,122911,Contract,KUWAIT,Kuwait-Embassy of the State,1,Government/International Body,Middle East & North Africa,0,0
24,25,105100,University of Alabama,Tuscaloosa,AL,43614,5136,Contract,SAUDI ARABIA,Saudi Arabia Education Mission,1,Charitable Organization,Middle East & North Africa,0,0
25,26,105100,University of Alabama,Tuscaloosa,AL,43615,100,Monetary Gift,GERMANY,"Mercedes-Benz U.S. International, I",1,Industry/Corporate,Europe & Central Asia,0,0
26,27,105100,University of Alabama,Tuscaloosa,AL,43616,17465,Contract,SAUDI ARABIA,Saudi Arabia Education Mission,1,Charitable Organization,Middle East & North Africa,0,0
27,28,105100,University of Alabama,Tuscaloosa,AL,43627,368,Contract,JAPAN,Kansai Gaidai University (KGU),1,Academic/Research Institution,East Asia & Pacific,0,0
28,29,105100,University of Alabama,Tuscaloosa,AL,43630,15892,Contract,TURKEY,"Turkish Consulate General,",1,Government/International Body,Europe & Central Asia,0,0
29,30,105100,University of Alabama,Tuscaloosa,AL,43630,147476,Contract,TURKEY,"Turkish Consulate General,",1,Government/International Body,Europe & Central Asia,0,0
30,31,105100,University of Alabama,Tuscaloosa,AL,43630,3852,Contract,SAUDI ARABIA,"Saudi Arabian Education Mission,",1,Charitable Organization,Middle East & North Africa,0,0
31,32,105100,University of Alabama,Tuscaloosa,AL,43630,255,Contract,TURKEY,"Turkish Consulate General,",1,Government/International Body,Europe & Central Asia,0,0
32,33,105100,University of Alabama,Tuscaloosa,AL,43635,47762,Contract,KUWAIT,Kuwait-Embassy Of The State,1,Government/International Body,Middle East & North Africa,0,0
33,34,105100,University of Alabama,Tuscaloosa,AL,43647,31522,Contract,KUWAIT,Kuwait-Embassy Of The State,1,Government/International Body,Middle East & North Africa,0,0
34,35,105100,University of Alabama,Tuscaloosa,AL,43655,25,Contract,TURKEY,"Turkish Consulate General,",1,Government/International Body,Europe & Central Asia,0,0
